company,year,sentMails,receivedMails,RelationshipQuotient
sugar-land.oilfield.slb.com,2000,4,3,4.25
carriageservices.com,2001,4,3,4.25
rpsionline.com,2002,4,3,4.25
energyintel.com,2000,4,3,4.25
intertrust.com,2001,4,3,4.25
gsa.gov,2001,4,3,4.25
energygateway.com,2000,7,1,4.25
nmenv.state.nm.us,2001,4,3,4.25
concentric.net,2001,1,5,4.25
bandm.com,2000,4,3,4.25
strategos.com,2001,7,1,4.25
oemi.com,2001,4,3,4.25
tycoelectronics.com,2001,1,5,4.25
kraft.com,2001,4,3,4.25
wapa.gov,2002,1,5,4.25
mail.jhuwash.jhu.edu,2001,4,3,4.25
keytech.com,2000,4,3,4.25
clearchannel.com,2000,4,3,4.25
ispheres.com,2001,7,1,4.25
junell.cc,2000,4,3,4.25
mbia.com,2000,4,3,4.25
barbnet.com,2001,7,1,4.25
harvard.edu,2001,4,3,4.25
cyrus.andrew.cmu.edu,2000,4,3,4.25
powermerchants.com,2000,4,3,4.25
redherring.com,2001,1,5,4.25
effem.com,2000,4,3,4.25
jhubc.it,2001,4,3,4.25
fireant.ma.utexas.edu,2000,4,3,4.25
cogentco.com,2000,4,3,4.25
ricemail.ricefinancial.com,2001,1,5,4.25
mit.edu,2000,4,3,4.25
gelbercorp.com,2001,4,3,4.25
ubspw.com,2001,4,3,4.25
papl.com,2000,1,5,4.25
state.gov,2001,4,3,4.25
tejastoyota.com,2001,1,5,4.25
brfg.com,2001,4,3,4.25
crai.com,2002,4,3,4.25
magic.pmh.on.ca,2001,4,3,4.25
cingular.com,2001,4,3,4.25
claven.gsb.columbia.edu,2000,4,3,4.25
chrm.com,2000,4,3,4.25
smurfit.com,2001,4,3,4.25
spacecitysports.com,2000,4,3,4.25
levi.com,2001,4,3,4.25
brooksbrothers.com,2000,4,3,4.25
qp.qld.gov.au,2000,4,3,4.25
sympatico.ca,2000,4,3,4.25
texasbar.com,2000,2,4,4
pop.net,2001,5,2,4
natsource.ca,2002,2,4,4
crestar-energy.com,2001,2,4,4
mcnallytemple.com,2000,2,4,4
roce-inc.com,2000,5,2,4
exxon.com,2001,2,4,4
intria.com,2002,5,2,4
aiglincoln.com.pl,2000,2,4,4
cajunusa.com,2002,5,2,4
hypercon.com,2000,5,2,4
unterberg.com,2001,2,4,4
hupk.com,2001,5,2,4
jw.com,2001,2,4,4
tradespark.com,2002,2,4,4
rbcds.com,2001,5,2,4
freshlatitudes.com,2000,2,4,4
zia.stanford.edu,2001,5,2,4
mvalaw.com,2001,2,4,4
eng.sun.com,2000,2,4,4
us.brann.com,2001,2,4,4
gfigroup.com,2001,5,2,4
sportsrocket.com,2000,5,2,4
acex.com,2000,5,2,4
kaztex.com,2002,2,4,4
lw.com,2001,2,4,4
morrownet.net,2001,2,4,4
marcusevansch.com,2001,2,4,4
spencerstuart.com,2001,5,2,4
sequentenergy.com,2001,5,2,4
insync.net,2001,2,4,4
manatt.com,2001,2,4,4
cmua.org,2000,2,4,4
pgn.com,2002,5,2,4
apg.amedd.army.mil,2000,2,4,4
main.com,2001,5,2,4
firstcallassociates.com,2002,2,4,4
midcogen.com,2001,5,2,4
evans-automation.com,2001,5,2,4
equilon.com,2001,5,2,4
global2000.net,2001,2,4,4
gov.ca.gov,2000,2,4,4
tanworth.mercianet.co.uk,2000,2,4,4
vitol.com,2001,2,4,4
vividence.com,2000,2,4,4
snwsc.com,2001,2,4,4
merant.com,2002,2,4,4
technologylaw.com,2000,2,4,4
nyseg.com,2000,2,4,4
wellsfargo.com,2001,2,4,4
crossborderenergy.com,2001,5,2,4
seminole-electric.com,2001,3,3,3.75
mail.md,2001,3,3,3.75
nctimes.net,2001,6,1,3.75
prusec.com,2001,6,1,3.75
heinzctr.org,2001,6,1,3.75
hhw-law.com,2002,3,3,3.75
sbsubscriber.com,2000,3,3,3.75
lbb.state.tx.us,2001,3,3,3.75
hksinc.com,2001,6,1,3.75
ase.org,2001,3,3,3.75
swbell.com,2001,3,3,3.75
tigernaturalgas.com,2001,3,3,3.75
compassbnk.com,2001,6,1,3.75
jaecklewholesale.com,2001,6,1,3.75
utep.edu,2001,3,3,3.75
arbitron.com,2001,6,1,3.75
bear.com,2002,6,1,3.75
xonex.com,2000,3,3,3.75
bayou.uh.edu,2001,3,3,3.75
perkins.com,2001,3,3,3.75
elora.math.uwaterloo.ca,2000,3,3,3.75
compaq.com,2002,3,3,3.75
mail.earthlink.net,2001,6,1,3.75
sgfimat.com,2001,3,3,3.75
astros.com,2000,3,3,3.75
aei.org,2001,6,1,3.75
telusplanet.net,2001,3,3,3.75
cisco.com,2000,3,3,3.75
hughesluce.com,2000,3,3,3.75
ffgklaw.com,2001,3,3,3.75
math.utexas.edu,2000,3,3,3.75
hawaii.edu,2000,3,3,3.75
train.missouri.org,2000,3,3,3.75
hyperformix.com,2001,3,3,3.75
aimfunds.com,2000,3,3,3.75
ch2m.com,2002,3,3,3.75
mcwilliamsforge.com,2000,3,3,3.75
alum.mit.edu,2001,6,1,3.75
cngt.cng.com,2000,3,3,3.75
alum.mit.edu,2002,3,3,3.75
wellesley.edu,2000,3,3,3.75
acespower.com,2001,3,3,3.75
iafe.org,2000,3,3,3.75
gte.net,1999,3,3,3.75
dauphine.fr,2000,3,3,3.75
newmn-d1.blue.aol.com,2000,3,3,3.75
ms.com,2001,6,1,3.75
kpmg.com,2000,3,3,3.75
pandaenergy.com,2002,6,1,3.75
gulfsouthpl.com,2001,3,3,3.75
ajunto.com,2000,3,3,3.75
wefa.com,2000,3,3,3.75
ifdc.org,2000,3,3,3.75
plainsresources.com,2001,3,3,3.75
millercanfield.com,2001,6,1,3.75
anv.net,2002,3,3,3.75
ncn.com,2001,3,3,3.75
processrequest.com,2000,3,3,3.75
johnjesse.com,2001,3,3,3.75
argolink.net,2001,6,1,3.75
hesco.org,2001,6,1,3.75
intesabci.it,2001,1,4,3.5
chron.com,2001,4,2,3.5
ubswenergy.com,2002,4,2,3.5
gulfsouthpl.com,2002,4,2,3.5
internationalsos.com,2001,1,4,3.5
iolok.com,2002,1,4,3.5
paragonsports.com,2001,1,4,3.5
gsx.com,2001,4,2,3.5
unitedfuels.com,2001,4,2,3.5
gsi-net.com,1999,4,2,3.5
risklimited.com,2001,1,4,3.5
sfx.com,2001,4,2,3.5
usa.xerox.com,2001,1,4,3.5
brookvillestaffing.com,2002,1,4,3.5
associatedcounsel.com,2001,4,2,3.5
opg.com,2001,1,4,3.5
csi.com,2001,4,2,3.5
greenash.com,2001,4,2,3.5
philippi.cl,2000,4,2,3.5
bus.utexas.edu,1999,4,2,3.5
valero.com,2001,1,4,3.5
semprasolutions.com,2001,4,2,3.5
gpch.org,2002,4,2,3.5
columbia.edu,2001,4,2,3.5
bblnyrep.com,2001,4,2,3.5
er.oge.com,2001,4,2,3.5
emrecruiting.com,2000,4,2,3.5
the-spires.com,2001,4,2,3.5
empirenatgas.com,2001,4,2,3.5
sogemin.com,2000,4,2,3.5
texas.net,1999,4,2,3.5
mail.law.utexas.edu,2001,4,2,3.5
embanet.com,2001,1,4,3.5
ttmc.ttuhsc.edu,2001,4,2,3.5
econ.berkeley.edu,2001,4,2,3.5
dtahou.com,2002,1,4,3.5
byrdinterior.com,2001,4,2,3.5
iusb.edu,1999,4,2,3.5
iusb.edu,2001,4,2,3.5
nylf.org,2001,4,2,3.5
bmgmusicservice.com,2001,1,4,3.5
clausman.com,2001,1,4,3.5
midamerican.com,2001,4,2,3.5
midamerican.com,2000,4,2,3.5
staffingsolutionsllc.com,2000,4,2,3.5
manfinancial.com,2002,1,4,3.5
wt.net,2002,1,4,3.5
centurydev.com,2001,1,4,3.5
riskwaters.com,2002,1,4,3.5
xcelenergy.com,2001,1,4,3.5
excambria.com,2000,4,2,3.5
mglconsulting.com,2001,1,4,3.5
fhlbtopeka.com,2001,1,4,3.5
rbcdain.com,2001,1,4,3.5
rbcdain.com,2002,4,2,3.5
spring-branch.isd.tenet.edu,2000,4,2,3.5
jvscinti.org,2000,4,2,3.5
justex.net,2001,4,2,3.5
spurr.org,2001,1,4,3.5
srpnet.com,2000,4,2,3.5
aig.com,2001,4,2,3.5
albrecht-assoc.com,2001,1,4,3.5
eeg.com,2000,4,2,3.5
efortress.com,1999,4,2,3.5
angelflightsc.org,2002,1,4,3.5
tvlon.com,2001,4,2,3.5
bth12.med.navy.mil,2000,4,2,3.5
warburgpincus.com,2001,2,3,3.25
cfisd.net,2002,2,3,3.25
cms.mail.virginia.edu,2000,2,3,3.25
palm.net,2001,5,1,3.25
shearman.com,2001,5,1,3.25
uty.com,2000,2,3,3.25
uaecorp.com,2000,2,3,3.25
watsonwyatt.com,2000,2,3,3.25
gcd.com,2000,2,3,3.25
jacobs.com,2001,2,3,3.25
e-rcm.com,2001,2,3,3.25
newdem.org,2001,5,1,3.25
robertwalters.com,2000,2,3,3.25
exit109.com,2000,2,3,3.25
ahlr.com,2001,2,3,3.25
hgp-inc.com,2002,2,3,3.25
ben.dev.upenn.edu,2000,2,3,3.25
kappasearch.com,2001,2,3,3.25
mail.ru,2001,2,3,3.25
ubs.com,2002,5,1,3.25
laed.uscourts.gov,2001,2,3,3.25
scicomp.com,2000,2,3,3.25
las-cruces.org,2001,2,3,3.25
uamericas.edu.ec,2001,5,1,3.25
optimark.com,2002,2,3,3.25
chemweek.com,2002,2,3,3.25
princeton.edu,2001,2,3,3.25
marshmc.com,2002,2,3,3.25
gwu.edu,2002,2,3,3.25
hsbc.com,2001,2,3,3.25
nwlink.com,2001,2,3,3.25
lwsupply.com,2001,2,3,3.25
lwsupply.com,2002,2,3,3.25
fimat.com,2001,5,1,3.25
ford.com,2000,2,3,3.25
att.com,2001,2,3,3.25
thesilverfund.com,2001,2,3,3.25
fuel-energy.net,2001,2,3,3.25
o2wireless.com,2001,5,1,3.25
lmnarchitects.com,2001,5,1,3.25
mms.gov,2001,2,3,3.25
dauphine.fr,2001,5,1,3.25
senate.state.tx.us,2001,5,1,3.25
harsco.com,2001,2,3,3.25
pcenergy.com,2001,5,1,3.25
usourceonline.com,2001,5,1,3.25
sprintmail.com,1999,2,3,3.25
ca.com,2002,2,3,3.25
stollerinc.com,2001,2,3,3.25
sympatico.ca,2001,3,2,3
imcingular.com,2001,3,2,3
tamu.edu,2001,3,2,3
txoga.org,2001,3,2,3
bellsouth.com,2001,3,2,3
aig.com,2000,3,2,3
dwhomes.com,2001,3,2,3
vnsm.com,2001,3,2,3
carlsoncapital.com,2001,3,2,3
condenast.co.uk,2001,3,2,3
ipcgas.com,2001,3,2,3
wincrest.com,2001,3,2,3
louisdreyfus.com,2001,3,2,3
knowledgeu.com,2001,3,2,3
piedmontyoga.com,2001,3,2,3
foundrynet.com,2001,3,2,3
scotiacapital.com,2001,3,2,3
hdinc.com,2001,3,2,3
apple.com,2001,3,2,3
cornell.edu,2001,3,2,3
britishparts.com,2002,3,2,3
gibsons.com,2001,3,2,3
gs.com,2002,3,2,3
go2netmail.com,2002,3,2,3
ypcnm.com,2001,3,2,3
idacorpenergy.com,2002,1,3,2.75
nike.com,2001,4,1,2.75
dal.frb.org,2001,1,3,2.75
txccc.org,2000,4,1,2.75
dow.com,2002,4,1,2.75
nlf-law.com,2002,1,3,2.75
csnllc.com,2001,4,1,2.75
bus.msu.edu,2001,1,3,2.75
heart.org,2001,4,1,2.75
tristategt.org,2001,4,1,2.75
stat.math.ethz.ch,2002,1,3,2.75
pnm.com,2002,1,3,2.75
asiarisk.com.hk,2000,1,3,2.75
scfadvisors.com,2001,1,3,2.75
mirant.com,2002,1,3,2.75
hilcorp.com,2001,4,1,2.75
fluid.com,2001,1,3,2.75
hitt-gc.com,2001,1,3,2.75
icfconsulting.com,2001,4,1,2.75
sohu.com,2001,1,3,2.75
nbcham.org,2001,1,3,2.75
ucy.ac.cy,2001,1,3,2.75
compfin.com,2001,1,3,2.75
stblaw.com,2001,1,3,2.75
steel.org,2001,4,1,2.75
auburn.edu,2001,1,3,2.75
telus.net,2001,1,3,2.75
stern.nyu.edu,2001,1,3,2.75
stewart.com,2001,4,1,2.75
cornell.edu,2002,1,3,2.75
equiva.com,2002,1,3,2.75
linklaters.com,2001,4,1,2.75
portlanddev.org,2001,1,3,2.75
dhs.state.tx.us,2001,4,1,2.75
peach.ease.lsoft.com,2001,1,3,2.75
kmg.com,2001,4,1,2.75
compuserve.com,2002,1,3,2.75
wii.com,2001,4,1,2.75
ncpa.com,2001,1,3,2.75
math.gatech.edu,2001,1,3,2.75
us.andersen.com,2002,1,3,2.75
shb.com,2001,1,3,2.75
shaw.ca,2002,4,1,2.75
adm.chtah.com,2002,1,3,2.75
milkeninstitute.org,2001,1,3,2.75
testmail.ercot.com,2001,1,3,2.75
klcorp.com,2001,1,3,2.75
wcom.com,2001,1,3,2.75
uamericas.edu.ec,2002,1,3,2.75
donwat.com,2001,1,3,2.75
marstonlaw.com,2001,1,3,2.75
citgo.com,2000,4,1,2.75
shadowpack.com,2001,4,1,2.75
lvha.com.mx,2001,4,1,2.75
bizserve.com,2000,1,3,2.75
novoforum.com,2001,4,1,2.75
griesenbeck.com,2001,1,3,2.75
san.rr.com,2001,1,3,2.75
sel.com,2001,1,3,2.75
gpu.com,2001,4,1,2.75
usfilter.com,2001,4,1,2.75
elwoodbox.com,2001,1,3,2.75
hillcast.com,2001,4,1,2.75
blakes.com,2002,1,3,2.75
tmp.com,2001,4,1,2.75
schiffhardin.com,2001,2,2,2.5
ing-barings.com,2001,2,2,2.5
copacel.fr,2001,2,2,2.5
ckt.net,2002,2,2,2.5
lists.michbar.org,2000,2,2,2.5
cogentrix.com,2001,2,2,2.5
gvtucker.com,2000,2,2,2.5
sdchamber.org,2001,2,2,2.5
bellcold.com,2000,2,2,2.5
clarksville.net,2000,2,2,2.5
mail.bus.utexas.edu,2000,2,2,2.5
vhlpr.com,2001,2,2,2.5
2mawbft.usmc.mil,2001,2,2,2.5
cockrell.com,2001,2,2,2.5
nag.national.com.au,2001,2,2,2.5
globaladvisors.co.uk,2000,2,2,2.5
talgov.com,2002,2,2,2.5
pinnaclewest.com,2002,2,2,2.5
naes.com,2000,2,2,2.5
mondes.com,2001,2,2,2.5
constellationmgt.com,2001,2,2,2.5
valero.com,2002,2,2,2.5
cse.ucla.edu,2001,2,2,2.5
heelas-joergensen.com,2001,2,2,2.5
heb.com,2000,2,2,2.5
sabre.com,2000,2,2,2.5
ccj-law.com,2001,2,2,2.5
tindallfoster.com,2001,2,2,2.5
oppd.com,2001,2,2,2.5
michaelrosenfeldart.com,2001,2,2,2.5
mantires.com,2000,2,2,2.5
ex-sp.com,2001,2,2,2.5
myfamilyinc.com,2000,2,2,2.5
corp.sysco.com,2002,2,2,2.5
dlalaw.com,2000,2,2,2.5
bp.com,2002,2,2,2.5
luiss.it,2000,2,2,2.5
radix.net,2000,2,2,2.5
e-acumen.com,2000,2,2,2.5
zbi.com,2001,2,2,2.5
sheckys.com,2001,2,2,2.5
zipcon.net,2002,2,2,2.5
experian.com,2001,2,2,2.5
elawforum.com,2001,2,2,2.5
gspcorp.com,2000,2,2,2.5
aethersystems.com,2000,2,2,2.5
jschmid.com,2001,2,2,2.5
360.net,2001,2,2,2.5
bostonpacific.com,2001,2,2,2.5
fds.com,2001,2,2,2.5
steelhector.com,2001,2,2,2.5
fctg.com,2002,2,2,2.5
cmgtx.com,2001,2,2,2.5
ceaconsulting.com,2000,2,2,2.5
airmail.net,2002,2,2,2.5
ucm.com,2000,2,2,2.5
algorithmics.com,2001,2,2,2.5
cea.sfex.com,2000,2,2,2.5
carmelnet.com,2000,2,2,2.5
fanniemae.com,2001,2,2,2.5
palex.com,2000,2,2,2.5
jonesday.com,1999,2,2,2.5
go.com,2001,2,2,2.5
esca.com,2001,2,2,2.5
solarc.com,2001,2,2,2.5
citi.com,2002,2,2,2.5
hobbycomm.com,2001,2,2,2.5
aporter.com,2001,2,2,2.5
mail.smu.edu,2001,2,2,2.5
oakvillegrocery.com,2001,2,2,2.5
ptrcom.com,2002,3,1,2.25
fmc.com,2001,3,1,2.25
haynesboone.com,2001,3,1,2.25
mail.cox.smu.edu,2001,3,1,2.25
uthscsa.edu,2001,3,1,2.25
periwinklefoundation.org,2001,3,1,2.25
geraldmartin.com,2001,3,1,2.25
bhp.com,2001,3,1,2.25
comerica.com,2001,3,1,2.25
kkr.com,2001,3,1,2.25
foothillspipe.com,2001,3,1,2.25
t-willy.com,2001,3,1,2.25
wheatstoneinvestments.com,2001,3,1,2.25
attws.com,2001,3,1,2.25
constellaion.com,2001,3,1,2.25
hypercon.com,2001,3,1,2.25
ncsc.dni.us,2001,3,1,2.25
eaglegl.com,2001,3,1,2.25
popswine.com,2001,3,1,2.25
bw-legal.com,2001,3,1,2.25
attcanada.net,2002,3,1,2.25
socgen.com,2002,3,1,2.25
netflix.com,2001,3,1,2.25
mohleadams.com,2002,3,1,2.25
richardfreemanco.com,2002,3,1,2.25
colorado.edu,2001,3,1,2.25
dmcmgmt.com,2001,3,1,2.25
powereng.com,2001,3,1,2.25
mail.pipingtech.com,2001,3,1,2.25
dodi.com,2001,3,1,2.25
worldrg.com,2001,3,1,2.25
sheltercorp.com,2001,3,1,2.25
gvtc.com,2001,3,1,2.25
delpapabud.com,2001,3,1,2.25
bakeratlas.com,2002,3,1,2.25
illinoispower.com,2001,3,1,2.25
darden.virginia.edu,2001,3,1,2.25
hastingsmail.alief.isd.tenet.edu,2001,1,2,2
smtp1.stanford.edu,2001,1,2,2
nuon.com,2001,1,2,2
airmessage.net,2002,1,2,2
hchd.tmc.edu,2001,1,2,2
howellcorp.com,2001,1,2,2
jump.net,2001,1,2,2
rcnchicago.com,2002,1,2,2
valic.com,2002,1,2,2
avisonyoung-van.com,2002,1,2,2
cloughcapital.com,2001,1,2,2
pacific.net.ph,2002,1,2,2
byrdinterior.com,2002,1,2,2
jobmenu.com,2002,1,2,2
enermetrix.com,2001,1,2,2
ew.com,2001,1,2,2
mailbmc.com,2001,1,2,2
bbnow.net,2002,1,2,2
gilsmith.demon.co.uk,2002,1,2,2
gpsolaw.com,2001,1,2,2
emerging-markets.com,2001,1,2,2
enervestdgo.com,2001,1,2,2
corp.enbridge.com,2002,1,2,2
miami.edu,2001,1,2,2
daiter.com,2001,1,2,2
xemkt.com,2002,1,2,2
wpsenergy.com,2001,1,2,2
prostaff.com,2002,1,2,2
longitude.com,2001,1,2,2
gulfbend.org,2001,1,2,2
trilegiant.com,2001,1,2,2
mail.utexas.edu,2002,1,2,2
etrade.ca,2002,1,2,2
idacorpenergy.com,2001,1,2,2
ukgateway.net,2001,1,2,2
ur.com,2001,1,2,2
orixcm.com,2001,1,2,2
publicans.com,2001,1,2,2
columbiahouse.com,2002,1,2,2
hiresynergy.com,2002,1,2,2
sdabocconi.it,2001,1,2,2
csmail.corp.fedex.com,2001,1,2,2
mpenner.com,2001,1,2,2
mslegalsearch.com,2001,1,2,2
ashfordumc.org,2002,1,2,2
gralegal.com,2001,1,2,2
npcc.org,2001,1,2,2
online.ru,2001,1,2,2
math.tamu.edu,2001,1,2,2
adaptivebroadband.com,2001,1,2,2
lej10.med.navy.mil,2001,1,2,2
avaya.com,2002,1,2,2
foundryccma.org,2001,1,2,2
listbot.com,2001,1,2,2
cnpl.enbridge.com,2001,1,2,2
michaelberry.com,2001,1,2,2
ckbenergy.com,2002,1,2,2
mail.uh.edu,2001,1,2,2
welcome.ebay.com,2002,1,2,2
mastio.com,2001,1,2,2
bfusa.com,2002,1,2,2
quallaby.com,2001,1,2,2
t-online.de,2002,1,2,2
cts.com,2001,1,2,2
pclient.ml.com,2002,1,2,2
wibbet.com,2001,1,2,2
mail.turn.org,2001,1,2,2
gromco.com,2001,1,2,2
lab.students.stcl.edu,2001,1,2,2
pomonacapital.com,2001,1,2,2
lisc.net,2001,2,1,1.75
networkinterstate.com,2001,2,1,1.75
hcceb.com,2001,2,1,1.75
thesearchcenter.com,2002,2,1,1.75
dsda.com,2001,2,1,1.75
un.org,2001,2,1,1.75
bakerhughes.com,2001,2,1,1.75
greerherz.com,2001,2,1,1.75
cs.oag.state.tx.us,2001,2,1,1.75
regenthotels.com,2001,2,1,1.75
obn.state.ok.us,2001,2,1,1.75
stephenstephenson.com,2001,2,1,1.75
ncpa.com,2002,2,1,1.75
hoganinvestment.com,2001,2,1,1.75
callisma.com,2001,2,1,1.75
paradigmbank.com,2001,2,1,1.75
hbb-law.com,2001,2,1,1.75
ypo.org,2001,2,1,1.75
tdusa.com,2001,2,1,1.75
rochester.rr.com,2001,2,1,1.75
st-systems.com,2001,2,1,1.75
scottyung.com,2001,2,1,1.75
gddcpa.com,2001,2,1,1.75
softbank.co.jp,2001,2,1,1.75
fleet.com,2001,2,1,1.75
du.edu,2001,2,1,1.75
dewittec.net,2002,2,1,1.75
mpea.com,2002,2,1,1.75
ucalgary.ca,2001,2,1,1.75
fun.21cn.com,2001,2,1,1.75
nicorenergy.com,2001,2,1,1.75
wapa.gov,2001,2,1,1.75
lcc.net,2002,2,1,1.75
wpo.it.luc.edu,2001,2,1,1.75
usdoj.gov,2001,2,1,1.75
rppi.org,2001,2,1,1.75
txu-europe.com,2001,2,1,1.75
eeshou.thebentleycompany.com,2001,2,1,1.75
pobox.com,2002,2,1,1.75
nhmccd.edu,2001,2,1,1.75
simsfurniture.com,2002,2,1,1.75
gvsi.com,2001,2,1,1.75
intl.pepsi.com,2001,2,1,1.75
bmo.com,2001,2,1,1.75
pcm.net,2001,2,1,1.75
mrcorp.com,2002,2,1,1.75
peoplepc.com,2001,2,1,1.75
smith-electric.com,2001,2,1,1.75
bakernet.com,2002,2,1,1.75
dpw.com,2001,2,1,1.75
quadraenergy.com,2001,2,1,1.75
rci.rogers.com,2002,1,1,1.25
chron.com,2002,1,1,1.25
mapquest.com,2001,1,1,1.25
lawresearch.com,2002,1,1,1.25
american-omni.com,2001,1,1,1.25
thlee.com,2002,1,1,1.25
epa.gov,2001,1,1,1.25
thlee.com,2001,1,1,1.25
wyndmill.com,2001,1,1,1.25
academicplanet.com,2002,1,1,1.25
ewingcc.com,2001,1,1,1.25
clearstation.com,2002,1,1,1.25
csc.com,2002,1,1,1.25
rwetrading.com,2002,1,1,1.25
personix.fiserv.com,2001,1,1,1.25
xenergy.com,2001,1,1,1.25
banksterling.com,2001,1,1,1.25
glo.state.tx.us,2002,1,1,1.25
spilmanlaw.com,2001,1,1,1.25
garp.com,2002,1,1,1.25
deloitte.com,2002,1,1,1.25
tombrown.com,2001,1,1,1.25
aquila.com,2002,1,1,1.25
yahoo.com.mx,2001,1,1,1.25
summit-resources.com,2001,1,1,1.25
kornferry.com,2001,1,1,1.25
lucent.com,2001,1,1,1.25
jci.com,2001,1,1,1.25
bcentral.com,2001,1,1,1.25
toshiba.co.jp,2001,1,1,1.25
onebox.com,2001,1,1,1.25
dzbank.de,2001,1,1,1.25
us.ngrid.com,2001,1,1,1.25
us.ibm.com,2002,1,1,1.25
thelenreid.com,2002,1,1,1.25
newwestenergy.com,2001,1,1,1.25
gfinet.co.uk,2001,1,1,1.25
wiley.co.uk,2001,1,1,1.25
streeter.com.hk,2001,1,1,1.25
delinea.com,2002,1,1,1.25
wildflower.org,2001,1,1,1.25
ca.pwcglobal.com,2002,1,1,1.25
apqc.org,2001,1,1,1.25
datasync.com,2001,1,1,1.25
tractebellng.com,2001,1,1,1.25
citi-fx.com,2001,1,1,1.25
iirny.com,2001,1,1,1.25
lrmlaw.com,2001,1,1,1.25
arnet.com.ar,2002,1,1,1.25
earthsat.com,2002,1,1,1.25
amerigas.com,2002,1,1,1.25
abnamro.com,2001,1,1,1.25
linbeck.com,2001,1,1,1.25
cullenanddykman.com,2002,1,1,1.25
landsenergy.com,2002,1,1,1.25
schlaw.com,2001,1,1,1.25
vistacomp.com,2001,1,1,1.25
tenaska.com,2001,1,1,1.25
primus.ca,2001,1,1,1.25
frazmtn.com,2002,1,1,1.25
genscape.com,2002,1,1,1.25
plantsystems.com,2001,1,1,1.25
shell.com,2002,1,1,1.25
sde.com,2002,1,1,1.25
universalcompression.com,2001,1,1,1.25
whaler.com,2001,1,1,1.25
abestkitchen.com,2001,1,1,1.25
lott.senate.gov,2001,1,1,1.25
sprynet.com,2002,1,1,1.25
harveybuilders.com,2001,1,1,1.25
intergen.com,2002,1,1,1.25
unimarkllc.com,2001,1,1,1.25
hhw-law.com,2001,1,1,1.25
harrisgroup.com,2002,1,1,1.25
enserco.com,2001,1,1,1.25
jps.net,2002,1,1,1.25
sterlinggrp.net,2001,1,1,1.25
oscn.net,2001,1,1,1.25
c.postmasterdirect.com,2001,1,1,1.25
mccoyinc.com,2002,1,1,1.25
condenast.flonetwork.com,2001,1,1,1.25
hansenbaxschiffer.com,2001,1,1,1.25
mcdonaldcarano.com,2001,1,1,1.25
gtemail.net,2002,1,1,1.25
netstruxr.com,2001,1,1,1.25
rockinhighliners.com,2001,1,1,1.25
rioalto.com,2001,1,1,1.25
llspc.com,2001,1,1,1.25
creativeloafing.com,2001,1,1,1.25
americancentury.com,2001,1,1,1.25
hanover-co.com,2001,1,1,1.25
ufreight.com,2001,1,1,1.25
repsol-ypf.com,2001,1,1,1.25
mail.duke.edu,2002,1,1,1.25
sourcenetsolutions.com,2001,1,1,1.25
llamacom.com,2001,1,1,1.25
paconsulting.com,2002,1,1,1.25
mail.earthlink.net,2002,1,1,1.25
wantabe.com,2001,1,1,1.25
retromodern.com,2001,1,1,1.25
chevrontexaco.com,2001,1,1,1.25
sidley.com,2001,1,1,1.25
dmi.columbia.edu,2001,1,1,1.25
tibco.com,2001,1,1,1.25
review.com,2002,1,1,1.25
grassy.com,2002,1,1,1.25
khanventures.com,2002,1,1,1.25
siltronic.com,2001,1,1,1.25
telesto-inc.net,2001,1,1,1.25
swcp.com,2002,1,1,1.25
smithhanley.com,2001,1,1,1.25
houstonhomesearch.com,2001,1,1,1.25
swiftenergy.com,2001,1,1,1.25
kimo.com.tw,2002,1,1,1.25
ope.shell.com,2001,1,1,1.25
utmb.edu,2002,1,1,1.25
psu.edu,2002,1,1,1.25
keyspanenergy.com,2002,1,1,1.25
houstonisd.org,2002,1,1,1.25
validmgt.com,2001,1,1,1.25
mta04.optamail.com,2002,1,1,1.25
nmh.org,2001,1,1,1.25
leasinggroup.com,2002,1,1,1.25
btinternet.com,2001,1,1,1.25
disney.com,2002,1,1,1.25
cov.com,2002,1,1,1.25
batcon.org,2001,1,1,1.25
eal.ab.ca,2001,1,1,1.25
semprasolutions.com,2002,1,1,1.25
energyargus.com,2001,1,1,1.25
starnet.it,2001,1,1,1.25
oppd.com,2002,1,1,1.25
,1979,2,\N,0
,2000,47,\N,0
,2002,1,\N,0
03583.com,2001,\N,1,0
1.americanexpress.com,2001,\N,39,0
1.americanexpress.com,2002,\N,17,0
1.maildb.egreetings.com,2002,\N,6,0
10kwizard.com,2001,\N,2,0
123india.com,2001,\N,3,0
123india.com,2002,\N,1,0
123jump.com,2001,\N,2,0
123jump.com,2002,\N,12,0
1400smith.com,2002,1,\N,0
1411west.com,2001,4,\N,0
163.net,2001,\N,1,0
163.net,2002,\N,2,0
16visions.com,2002,\N,1,0
170systems.com,2001,\N,1,0
180096hotel.com,2001,\N,2,0
1800contacts.com,2000,\N,12,0
1800contacts.com,2001,\N,14,0
1800flowers.com,2000,\N,9,0
1800flowers.com,2001,\N,15,0
1800flowers.flonetwork.com,2001,\N,5,0
188.net,2001,\N,1,0
188.net,2002,\N,1,0
1stconnect.com,2001,2,\N,0
1stgmc.net,2001,\N,5,0
1stgmc.net,2002,\N,1,0
1travel.com,2000,\N,9,0
2001victory.com,2001,\N,9,0
21stcentury.net,2001,\N,1,0
21stenergy.com,2001,10,\N,0
24bom.com,2002,\N,4,0
24h.co.jp,2001,\N,1,0
